Title,Learning Hours,Activity Description,Benefit to Practice,Benefit to Users
Rail Supplier Engagement Event ,2.0,"The Centre for Innovation in Rail at the University of Huddersfield offers a unique collaboration between world-class rail academics and industry professionals to provide access to leading-edge research and development expertise. We are constantly working with a number of key industry partners such as Unipart Rail, whilst forming new relationships with innovative SMEs and other solutions providers to offer:

specialist technology and business services
product testing and development
funding opportunities
routes to market for new and developed concepts
We would like to introduce SMEs to the benefits of working with the University and our industry partners; we are therefore holding a supplier engagement event, open to SMEs of all sizes and disciplines on the 27th November 2018, during which delegates can meet with colleagues from the University as well as Network Rail, Unipart Rail and the Rail Alliance. The event will provide an opportunity to:

learn how you can work with the University to support your business needs;
discover the opportunities offered by the rail sector locally, nationally and internationally;
hear from Network Rail on their current challenges, R&D plans and what they are seeking to overcome in partnership with suppliers;
Hear from and talk to Unipart Rail; understand how they can help get your product to market;
learn of the ways in which you can receive support and guidance from the Rail Alliance;","Martin Little from the Rail Alliance gave a thorough introduction to the rail industry. He explained TOCS, ROCS and government agencies. 
He also gave 15 tips for getting started working in the rail industry. 

This overview really helped me understand how the many different rail companies interact.","A detailed understanding of the interaction between companies is vital to ensuring that we are bae

I also spoke to Rail Alliance about how we can get testing vouchers to test our products. By testing our products on a real train we can improve the quality."
Reading: Elements of Statistical Learning,4.0,"https://web.stanford.edu/~hastie/Papers/ESLII.pdf

Working through the following chapters:
3: Linear Methods for Regression
14: Unsupervised Learning
15: Random Forests","As a statistician, it is important to understand the mathematics behind techniques such as linear regression, unsupervised learning and random forests. I focussed on these chapters are they are the most important to my current work with Arctic Shores, however, I would like to work through the entire book at some point.",Having a good understanding of these modelling techniques allows me to develop models for clients whilst being aware of possible pitfalls and biases. 
Reading: R4DS,4.0,"Working through the R4DS book in Autumn 2017. 
https://r4ds.had.co.nz/

 This book will teach you how to do data science with R: You’ll learn how to get your data into R, get it into the most useful structure, transform it, visualise it and model it. In this book, you will find a practicum of skills for data science. Just as a chemist learns how to clean test tubes and stock a lab, you’ll learn how to clean data and draw plots—and many other things besides. These are the skills that allow data science to happen, and here you will find the best practices for doing each of these things with R. You’ll learn how to use the grammar of graphics, literate programming, and reproducible research to save time. You’ll also learn how to manage cognitive resources to facilitate discoveries when wrangling, visualising and exploring data.

","This book is the gold standard for data science in R. Working through the book taught me new skills, particularly in visualising data using ggplot.

","Having strong R skills are essential for both analysing client data, but also visualising their data in a clear, intuitive way."
Reading: Reproducible Research,2.0,"I worked through the excellent tutorial by Karl Broman on Reproducible Research.

https://kbroman.org/steps2rr/",I aim to use a workflow which meets the gold standard for reproducibility. This guide gave me some great tips and ideas. ,"By providing a reproducible workflow, it increases the reliability of the results provided. Also, if the data changes it allows a quick re-analysis. "
RSS CPD training webcast,0.5,"Worked through CPD training on RSS website

https://www.youtube.com/watch?v=roVi9l3MKt0&feature=youtu.be","Although I have already attended an RSS CPD course, I found it very useful to revisit this webcast. This time I focussed more on the planning and general development rather than the actual activities. ",Since working through this I have decided to make a development plan in order to ensure that my CPD matched the skills that I need to develop.
RSS Lancashire Talk: David Spiegelhalter,1.0,"David Spiegelhalter - Trust in Numbers

Those who value quantitative and scientific evidence are faced with claims both of a reproducibility crisis in scientific publication, and of a post-truth society abounding in fake news and alternative facts.  Both issues are of vital importance to statisticians, and both are deeply concerned with trust in expertise.  By considering the ‘pipelines’ through which scientific and political evidence is propagated, I will consider possible ways of improving both the trustworthiness of the statistical evidence being communicated, and the ability of audiences to assess the quality and reliability of what they are being told.
","David's talk presented a number of excellent examples which I can use in my role as an RSS Statistical ambassador. The pipelines that he discussed has encouraged me to take responsibility for the way that my research is communicated. I will do this by ensuring that all press releases are accompanied by more public-friendly versions, there by helping University press offices do there work. ","In my role as statistical ambassador for the RSS, David has provided me with many excellent examples which I can share when educating members of the public."
RSS Lancashire Talk: Davide Pigoli,0.5,"The statistical analysis of acoustic phonetic data: exploring differences between spoken Romance languages

Exploring phonetic changes between languages is relevant to understand their history and geographical spread. While many studies have considered differences in textual form or in phonetic transcription, it is somewhat more difficult to analyse speech recordings in this manner, although this is usually the dominant mode of transmission of language changes. Here, we propose a novel approach to explore phonetic changes, using log-spectrograms of speech recordings. After pre-processing the data to remove inherent individual differences, we identify time and frequency covariance functions as a feature of the language; in contrast, the mean depends mostly on the word that has been uttered. We use these means and covariances to postulate paths between languages, and we illustrate some preliminary results obtained when the model is applied to recordings of speakers of selected Romance languages. This is part of a joint work with P.Z. Hadjipantelis, J.S. Coleman and J.A.D. Aston.","It was interesting to learn how it is possible to analyse acoustical data using Fourier analysis. In particular, separating word differences and language difference.",Expanding the types of data that we are able to analysis broadens the services that we are able to provide 
RSS PSF Route to Chartered CStat,2.5,"I learnt how to track my CPD, what sort of activities are applicable, and how more about the pathway to CStat.

Support provided along the pathway (including the GradStat mentoring scheme and mid-term review).Continuing Professional Development (CPD) – what’s expected in terms of doing and recording CPD
","I learnt how to track my CPD, what sort of activities are applicable, and how more about the pathway to CStat. 

I began to re-think how I present myself as a professional statistician, and the guidelines to follow as a Fellow of the Royal Statistical Soceity","CPD is vital to provide a professional, up-to-date, service to clients."
RSS PSF: Effective Communication,0.5,"The career value of effective communication skills: Case studies from the RSS statistical ambassadors programme - watch video (YouTube)
Speakers: Robert Cuffe (BBC News), Liberty Vittert (University of Glasgow), David Beckett (Office for National Statistics)
The RSS statistical ambassadors programme is helping early-career professional statisticians to respond to requests from event organisers and the media, but what is it all about? With a call out to the membership to apply for the next cohort of statistical ambassadors this webinar will show what the programme is about from the perspective of three ambassadors. The aim of their presentations will be to discuss how the programme has been beneficial to their careers and how communication is a very important aspect of everyone’s careers.",These talks gave some excellent examples of how best to communicate statistical concepts. ,Communicating is a vital part of providing a full service.
RSS PSF: Excellence in Official Statistics,0.5,"Excellence in Official Statistics – engagement, insight and building trust - Webcast (Youtube)
Speakers: Alastair McAlpine (download slides), Scottish Government; Laura Watson-Heard (download slides), Department for Work and Pensions; Ian Polanowski (download slides), Health and Safety Executive; Rob Green (download slides), Ministry of Housing, Communities and Local Government
The RSS Official Statistics Awards, jointly awarded by the RSS and by the UK Statistics Authority, recognise and celebrate developments in Official Statistics. In this meeting you will hear from the winners and those short-listed for the 2017 Awards. They will talk about the motivation for the work, how it was done, the key outcomes and how things have developed since. In particular:

The Scottish Government, winners of the Award, with the Scottish Index of Multiple Deprivation (SIMD16). This was commended for excellent processes to develop understanding of user needs, communication of findings to decision makers, clever use of case studies and user engagement to build public trust, and clear advice on what the SIMD can and cannot be used for.
The Department for Work and Pensions on the presentation of the Work, Health and Disability Green Paper Data Pack and on work to strategically bring together the outputs to improve public accessibility and user engagement.
The Health and Safety Executive on its work on user-focus and accessibility of Health and Safety Statistics for Great Britain 2015/16.
The Ministry of Housing, Communities and Local Government on innovations and improving ease of use of its Live Performance Dashboard.",Introduced a couple of new visualisation ideas that I hadn't seen before. ,New visualisation techniques can allow us to communicate our findings to clients.
RSS Stats Ambassador: Panorama,2.0,"Assisted Stephen Walsh, Assistant Producer for Blakeway creating a Panorama programme ""Plane Drunk""","Liaising with Stephen, understanding his question and explaining the consequences can to him helped develop my communication skills. 

Working with a TV company gave me the experience of working to a tight deadline. ",Developing my communication and time keeping skills are keep points of providing a good service in statistical consultancy.
RSS Stats Ambassador: Stat of the Year,2.0,Assisted the RSS in checking their statistics for Stat of the Year 2018.,"This activity allowed me to develop my fact-checking skills, quickly looking for potential errors or pitfalls in the statistics presented.

Due to time constraints, this also forced me to practise working efficient and develop my time-keeping skills. 
",Having a keen eye for possible errors or biases in data is an important skill for ensuring that the analysis and statistics that you have developed are a fair representation of the data. It was great to practice ensuring that the answer provided actually answers the original question!  This is another vital service when providing consultancy for clients.
RSS Video: Data Science and Statistics: different worlds?,1.0,"Chris Wiggins (Chief Data Scientist, New York Times)
David Hand (Emeritus Professor of Mathematics, Imperial College)
Francine Bennett (Founder, Mastodon-C)
Patrick Wolfe (Professor of Statistics, UCL / Executive Director, UCL Big Data Institute)
Zoubin Ghahramani (Professor of Machine Learning, University of Cambridge)
Chair: Martin Goodson (Vice-President Data Science, Skimlinks)
Discussant: John Pullinger (UK National Statistician)

In the last few years, data science has become an increasingly popular discipline. Often linked to the use and analysis of ‘big data’, data scientists are seen as the new professionals who can unlock the potential of an increasingly data-rich world, and generate economic and social benefits from the data revolution.

However within the world of statistics, the ‘big data’ and ‘data scientist’ developments are sometimes labelled as hypes, and ‘data science’ is seen as a rebranding of what should be statistics. One of the often heard criticisms of big data analytics is that there’s a lack of statistical rigour which can lead to the wrong decisions.

As with any new discipline, there are questions about exactly what data science is. Has the relevance of statistics been diminished because of new types of data or technologies which need a radical new approach? Is data science about ‘getting the job done’, and statistics about the deeper scientific understanding? Are our universities offering students the right skill sets to meet the high demand for data scientists?

https://www.youtube.com/watch?v=C1zMUjHOLr4","I really enjoyed this discussion. Often, people ask me if I identify as a statistician or a data scientist, and what the difference is between the two. These talks helped to clarify my thoughts and provided interesting angles on the discussion. It got me thinking about the similarities and differences between the disciplines. It also encouraged me to reflect on the skills I have as someone who sits in the middle of statistics and data science.","The personal reflection helped me identify the strengths that I have due to my abilities in the intersection statistics and data science, and skills which may need development. Targetting these skills will ensure I provide a good service to users of my service."
RSSB Forecasting Workshop,5.0,"10:15 Welcome and Introductions
Neil Ovenden, Engineering Supply Chain Lead at Rail Delivery Group and Chair of the Adhesion Research Group (ARG) Watch Recording

10:30 The Adhesion Problem
An overview of the operational problems caused by poor adhesion - John Edgley, Chair of the Adhesion Working Group (AWG)
How adhesion impacts train operators - Rob Cummings, Programme Delivery Manager – Seasonal Preparedness, Northern Rail

11:00 Adhesion Forecasting
A look at how the Met Office approaches adhesion forecasting - Dr Victoria Chapman, Scientific Manager, Met Office
New developments in adhesion forecasting on the tube - Priyank Patel, Senior Engineer, Transport for London

11:45 Forecasting in other sectors
The approach that MetDesk takes to weather-related forecasting across multiple sectors - Dr Daniel Adamson, Head of Meteorological R&D, MetDesk Weather Services
A broader look at how the Met Office provides wider weather forecasting services – Dr Elizabeth Brock, Scientific Consultant, Met Office

12:15 Q + A Panel
All the morning’s speakers

13:45 Workshop – forecasting adhesion solution requirements
Workshop introduction
Workshop Session 1
Workshop Session 2

15:15 Funding and next steps
Competition details, including specifics regarding funding, judging criteria, etc. - Luisa Moisio, R&D Programme Director, RSSB","This session involved a lot of domain-specific knowledge. I left the event feeling like I had a much greater understanding of the rail sector and the many different players. The session on the MetDesk showcased a great way to provide domain-specific predictions in the rail sector. I learnt a great deal about the adhesion problem, and the RSSB funding available. ","This event informed me on how we can best submit a funding call to forecast poor adhesion, If funded, we will be able to deliver a new product for our users, increasing safety and decreasing train delays during the difficult Autumn season. "
STEM Ambassador: Careers Fair,0.5,"Careers event for Year 9-11. 
I volunteered to give a 20 minutes presentation about my career. 

","As part of delivering this talk, I had to work on my communication skills. 
I decided to present without slides, and therefore it was critical to ensure I was able to communicate the pathway that statistics can take you clearly to the students.
I also believe that it is greatly important to give back to the STEM community, and particular engaging with young STEM students. ","Better communication skills, and it's good to give back."
STEM Ambassador: Engineering Your Future x 2,1.0,"At Siemens and again a week later at MMU. 
Engineering Your Future Career Awareness Day. This is a joint engineering Institution activity in conjunction with Engineering UK, organised and funded by the Joint Institution Group (NW), with the aim of inspiring the next generation. The day aims to show the attending students a snapshot of the very broad range of exciting opportunities available in the engineering sector together with the many different routes to get there so that the students are better able to make an informed choice. The students will all be in the age range of 16 – 18 yrs. and studying STEM subjects at Greater Manchester schools and colleges, and we are expecting up to 100 in total, plus their teachers. I attended the career stall and engaged with students about the different pathways that engineering could take them.","I learnt how to build a quick and simple object detection algorithm which was useful as we are intending to build or own bespoke object detection algorithm in 2019.

I also practised my engagement skills, chatting with 16-year-olds about pursuing a career in engineering.",Being able to explain our work to non-technical users is important for engaging with clients. It's also important to show our users that we meet Corporate Social Responsible and give back to the future STEM students. 
STEM Ambassador: Florence Nightingale,0.5,"The Florence Nightingale Days are part of our continuing efforts to promote mathematics and statistics to young women in years 10 and above, who will soon be making crucial choices in their career paths. The Florence Nightingale Day will showcase successful women in mathematics at various stages of their careers, display information about the broad range of possibilities offered by a degree in mathematics or statistics, stimulate informal discussion between pupils and mathematicians and give an opportunity for participants to compare their mathematical skills with their peers in other schools via a quiz.

This year I tutored during the quiz.",Discussing the mathematical questions with the 16-17-year-olds made me think about how best to communicate mathematical principles in a simple way.,Practising communicating statistical principles with non-specialist people is excellent practice for liaising with clients.  
STOR-i CDT Conference,1.0,Poster session for the CDT STOR-i Conference,"I discussed a number of new techniques being developed in the STOR-i CDT, including a multi-armed bandits method and new clustering techniques. 
There is a possibility to set up a PhD project or internship with a STOR-i PhD student.",Close collaborating with Lancaster University allows us to incorporate the latest academic algorithms into our work.
STOR-i Conference 2017,5.0,"The STOR-i Doctoral Training Centre at Lancaster University is hosting the sixth annual conference with talks from key researchers from Statistics, Operational Research and Industry.

Itinerary, Day One:
10:00- Registration and refreshments in LICA Building foyer
10:30- Professor Finn Lindgren, School of Mathematics, University of Edinburgh
11:30- James Grant, STOR-i PhD student
12:00- Lunch
13:00- Professor Paul Harper, School of Mathematics, Cardiff University
14:00- Ye Liu, STOR-i PhD Alumni
14:30- Refreshment break
15:00- Professor Qiwei Yao, Department of Statistics, London School of Economics
16:00- Dr Steve King, Rolls Royce
16:30- Talks finish
18:30-21:00 Poster Session in the LICA building with wine reception and buffet

Itinerary, Day Two:
09:30- Professor Giovanni Andreatta, Matematica Pura ed Applicata, Padova University
10:30- Dr Michael Epitropakis, STOR-i Associated, Management School, Lancaster University
11:00- Refreshment break
11:30- Detlef Nauck, BT, Industry Speaker
12:00- Katie Yates, STOR-i PhD Student
12:30- Lunch
13:30- Close","The STOR-i conference highlights up-to-date statistical methodology. Increasing my knowledge of new techniques in extreme value theory, changepoints and statistical learning. ",Ensuring that I am up-to-date with the latest statistical methodology allows me to provide relevant analysis for my clients. 
Stylish code,1.0,I learnt about using the lintR and styler packages to stylise my code. ,"It's important as a data scientist to be up to date with the new R packages. These two, in particular, have become part of my daily coding practice, making my code cleaner and more concise.",Having clean code is essential to good coding practice.
The Tidyverse Style Guide,1.0,"https://style.tidyverse.org/
I worked through the style book and made notes to develop my own personal style guide for writing R code. 

Good coding style is like correct punctuation: you can manage without it, butitsuremakesthingseasiertoread. This site describes the style used throughout the tidyverse. It was originally derived from Google’s R style guide, but has evolved and expanded considerably over the years.

",Forcing myself to abide by my own style guide ensures that I am constantly good standard code. It also makes it easier for other data scientists to read my code and provide feedback. I intend to create a Digital Rail code guide.,"Having a clear style guide makes better code and, therefore, better analysis. "
Training: Writing Aptitude tests,8.0,"Training material delivered by Assessment Day.
Covered how to develop numerical aptitude tests, including the writing of questions and assessing the difficulty.","Over the next couple of months, it is my job to develop an aptitude assessment from scratch. As I do not have any formal psychometrics training, it was essential to seek training from experts. 
I've developed a good understanding of how to develop these tests, from writing good questions to analysing the difficulty.","Being trained in aptitude tests, allows me to write a good quality assessment. Having an accurate assessment will allow our clients to ensure that they employ the best possible candidates with confidence. "
UCREL Summer School in corpus-based NLP,16.0,"The UCREL Summer School in corpus-based natural language processing (NLP) was a new stream added in 2016 to the highly successful series that began in 2011. Sponsored by UCREL at Lancaster University – one of the world's leading and longest-established centres for corpus-based research – its aim is to support students of computer science and computational linguistics in the development of advanced skills in corpus-based NLP methods. An additional aim is to foster interdisciplinary research and networking via joint sessions with other summer school streams.

Who is the UCREL NLP Summer School for?
The UCREL NLP Summer School is intended primarily for postgraduate computer science and informatics research students (and secondarily for Masters-level students, postdoctoral researchers, and others) who require in-depth knowledge of corpus-based NLP methodologies for their degree projects. Please note that this summer school assumes existing programming knowledge and skills. It is not aimed at raw beginners in coding.

What topics does the UCREL NLP Summer School cover?
The programme consists of a series of linked intensive two-hour sessions, some involving practical work, others more discussion-oriented. The instructors include external guest speakers, as well as speakers from Lancaster University. In the 2018 syllabus, the provisional session titles include:

Kalina Bontcheva (University of Sheffield) – Social media analysis with GATE
Alistair Baron (Lancaster University) – Authorship analysis for online text
Scott Piao (Lancaster University) – Semantic tagging, multilinguality, development and applications
Andrew Moore (Lancaster University) – Sentiment analysis
Mahmoud El–Haj (Lancaster University) – Text Classification using Machine Learning
Daniel Kershaw (Lancaster University and Mendeley) – Large–scale data mining
John Mariani and Paul Rayson (Lancaster University) – Poster/demo session for attendees to present their own work

",The tutorials were very informative and taught me how to implement a variety of NLP techniques in javascript. I have learnt new techniques in NLP and improved my competency in javascript coding. ,A product that we develop is based on Natural Language Processing. The training that I received over the 4 days introduced me to new techniques that we can incorporate into our products.
UKRRIN Rail Data Challenge Workshop ,1.0,"The Centre of Excellence in Digital Systems (CEDS) at BCRRE is a part of the UK Rail Research and Innovation Network. CEDS will host this briefing and workshop on the Rail Data Challenge which recently opened and is accepting applications until the middle of September.

The Rail Data Challenge is an open invitation for innovators, developers and tech experts to develop new technologies to address three current rail challenges using new and existing datasets.

Challenge winners will get the opportunity to pitch for funding from industry and private investors to demonstrate their solution into rail. This competition will take place from 16 August and will conclude with a Demo Day on 15 October (2018).

At this Briefing and Workshop, participants will be able to find out more from the DfT, RDG and RSSB about the Joint Rail Data Action Plan and the Rail Data Challenge. In addition, there will be a workshop and opportunities to test ideas and explore collaboration opportunities with academics, tech experts, innovators and SMEs.

Workshop Itinerary

14:00 Welcome to BCRRE/UKRRIN CEDS and Introduction to Workshop 
14:15 About the Joint Rail Data Action Plan
14:25 About the Rail Data Challenge and Datasets available 
14:45 Intro to breakout session
15:00 Facilitated Breakout session
16:00 Reconvene to share ideas and broker potential partnerships
17:00 Close",This session taught me about UKKRIN a university research group in rail. Learning about the different projects they were working on is useful as we may need to team up with some of their academics in future projects. We also had a break out session where we discussed the problems in the rail industry and brainstormed technologies which would be useful in solving them.,"Working with large research organisations expanded the type of products which we can develop. 

Developing new technologies means we can offer new products to our clients which meet the needs of the rail industry.
"
UniBrass Trustee,5.0,"I served as a trustee for the UniBrass Foundation, and also as secretary. 

The UniBrass Foundation, registered charity number 1,159,359, was set up to advance, improve, develop and maintain public education in, and appreciation of, the art of the brass band movement, especially at universities. They aim to do this primarily by organising the annual UniBrass Championships, offering support to existing university ensembles, and encouraging the creation of new university bands.","As secretary, I was responsible for writing minutes, liaising with the Charity Commision and ensuring that the constitution is up to date. ","As part of my role, I had to learn how to write GDPR and child protection policies. I also had to learn how to update the charitable objectives. 

These writing skills can be transferred to ensuring that any policies developed in my professional work are correct. "
Women in Data Conference,5.0,"The Topics
Diane Black
Artificial Intelligence – is this the future of analytics and the workforce?
Artificial Intelligence is set to be a game changer for today’s businesses and workforce. With the rapid developments in machine learning, cognitive computing and robotics the next decade promises to see huge leaps forward. What are the potential applications of AI in the future and how do we deal with the fears that currently surround AI? How are organisations already making analytics and AI central to their strategy and what use cases are we already seeing in practise?

Di helps dispel some of the myths and explain how AI is already having an impact and how advancements will enable us to work better, smarter and faster. We look at the opportunities and challenges associated with AI and analytics and how organisations can positively respond to the change that AI transformation brings, making analytics central to their business

Partnership panel session
Is gender diversity profitable?

Caroline Morris
Connecting Women in Data and Being Heard
Do you ever feel lonely at work?  Have you noticed how much time you spend being really listened to?  Do you know who to turn to for help?
I hear these and many more questions regularly in my role as a Leadership coach and it’s so refreshing to be in the coaching industry where supporting each other and being heard is a given.  However, it wasn’t always that way for me, I spent over eighteen years working in data and technology and often found myself feeling lonely and not sure where to get support.  In fact, over 50% of leaders say that they too often feel lonely.  I feel it is a real gift to make connections with people and so in my talk, I’ll be sharing the benefits of making connections, being heard and accepting help from each other.

Sue Unerman
The Glass Wall

Never mind the glass ceiling. In the workplace today there’s a glass wall. Men and women can see each other clearly through the divide, but they don’t speak the same language or have the same expectations. And as a result, women and their careers are suffering.

With more women than ever in the workforce, but still too few in the boardroom, now is the time to address the assumptions and miscommunication holding women back. My talk will explain why this is and give a sample of the strategies that women on the way up and managers need for any situation. Drawing on Unerman and Jacob’s own experience in men-dominated businesses, as well as over a hundred interviews with both men and women, The Glass Wall provides clear, smart and easy-to apply strategies for success. From unlocking ambition and developing resilience to nurturing creativity and getting noticed, these are the skills that everyone needs to learn to help break down that wall and create better workplaces for all.

Yasmeen Ahmad
The Human in the Loop – developing skills for the digital age

In a future driven by Artificial Intelligence, is the human decision maker obsolete? Machines in almost all fields are outperforming human efforts. Algorithms that are monetizing data to become the billion dollar unicorns. Should businesses feel threatened by new algorithms? This presentation will explore:

How is the explosion of data, new trends in AI, Machine Learning and Deep Learning impacting organisations?
How is automation driving new business models and maximising revenue streams?
What are the technology, skills and cultural changes required to thrive in the digital age?
How can businesses prepare for a future involving human machine partnerships?
Elizabeth Denham & Fedelma Good
Join Elizabeth and Fedelma for a conversation about GDPR and so much more……

Hear about the paths their careers have taken that have led them to where they are today. Their shared passion for ensuring GDPR is seen as so much more than a regulatory change (and much more!).

Håkan Nyberg
How to fight gender inequality in male dominated sectors","This event introduced me to many role models in my field, and really boosted my confidence. 
I learnt some great techniques on how best to communicate and present myself in a business setting.

One big theme of WiD2017 was ""taking control"" Athina Kaniouva said, “if you want a promotion, you have to ask for it, don’t wait for it.” Håkan Nyberg, CEO of Ikano Bank, said that women have a “golden opportunity” to help, promote and sponsor each other. 

There was also a in-depth discussion into GDPR which increased my understanding of the upcoming legislature. 
","Thanks to me better understanding on good GDPR practice, we can provide a service which meets users expectations around data protection. 

"
